Price,Close,High,Low,Open,Volume
Ticker,AMAT,AMAT,AMAT,AMAT,AMAT
Date,,,,,
2000-01-03,23.0848388671875,23.427005451187316,22.149583537588008,23.427005451187316,14356400
2000-01-04,21.94428825378418,22.856732671820946,21.898666032882343,22.21802157919521,22822400
2000-01-05,21.123092651367188,21.93288724005351,20.735303693404724,21.545098282091047,27791200
2000-01-06,21.157299041748047,21.69335998781929,20.484371471147973,20.849349136558182,22438000
2000-01-07,21.339797973632812,21.36260908851644,20.256270016660544,20.575625625031318,37732400
2000-01-10,23.062028884887695,23.210301078509627,21.62492916209054,21.738984695645872,30214400
2000-01-11,22.04693603515625,23.666524714407252,21.932880494363925,22.582997076880172,27264000
2000-01-12,23.18749237060547,23.221709034211873,21.510875853891744,22.263642453232602,30550400
2000-01-13,22.719867706298828,23.267334398016875,21.830234332257007,22.5601899212144,44196400
2000-01-14,24.750059127807617,25.365959216702368,23.63231452203566,23.68934230804443,61415200
2000-01-18,24.65882110595703,25.13785463345481,24.111354217388143,24.430709902386663,27733600
2000-01-19,25.981861114501953,26.14153892644358,24.499138575043986,24.727249734960594,29092400
2000-01-20,25.54843521118164,26.529312634468077,25.29751307964325,26.25557940006256,28180000
2000-01-21,25.776554107666016,26.050287425623534,25.14924858734671,25.844987437155396,30846000
2000-01-24,25.63969612121582,26.757440880948536,25.594073886124686,25.60547944489747,25352800
2000-01-25,26.358240127563477,26.517917912845125,24.68162338210617,25.810773435169256,32854800
2000-01-26,24.510543823242188,26.35824419521298,24.4649215918355,26.28981084810295,27227600
2000-01-27,24.727237701416016,25.605465239704316,24.33944891827573,25.03518761743919,26986000
2000-01-28,23.677932739257812,25.25189936643391,23.461227189139365,24.56756605027039,31494800
2000-01-31,25.04659080505371,25.10361856189582,23.40419140800101,23.48403026757996,30351200
2000-02-01,25.63969612121582,25.799373944034777,24.31665130357301,24.40789577375527,22794800
2000-02-02,26.244186401367188,26.84868091647908,25.48001408981065,25.559852988032972,27897200
2000-02-03,27.0996036529541,27.37333702318596,26.449486898653436,26.449486898653436,23597200
2000-02-04,26.529325485229492,27.533014497568356,26.438081029562323,27.30490335840043,18998000
2000-02-07,28.034841537475586,28.1374914861482,26.278386860188668,26.552120056648967,21438000
2000-02-08,29.403514862060547,29.471948178263947,27.829548589382366,28.240148486602763,37100400
2000-02-09,29.879703521728516,30.760782669377537,29.038543817662294,29.049949372971668,37757200
2000-02-10,31.88993263244629,31.889932632446286,29.42633268659207,29.882554898787294,27658800
2000-02-11,30.11068344116211,31.81011216568224,29.83694995533336,31.547784241763026,33136400
2000-02-14,29.392126083374023,30.954687695101708,29.15260933997051,30.589709800391592,30705200
2000-02-15,30.384387969970703,30.88623221572097,29.163994008714372,29.905354826299995,41104800
2000-02-16,31.639007568359375,32.43739636784934,31.296840940006536,31.935551979598504,50966000
2000-02-17,34.37635803222656,34.47900807280057,31.00031225334831,31.764484777621426,47536400
2000-02-18,32.437400817871094,34.62726753975269,32.300534147753496,34.364939755360616,35272800
2000-02-22,32.628440856933594,33.577953292952024,31.650414533947643,32.18647560893703,30175600
2000-02-23,33.03049087524414,33.62357979979963,32.41459083820575,32.57426862558607,23998000
